ts,temp,hum,light,airq,pm25,pm10
33,1531152886,22.7,49,15.6,25,4,5
34,1531210157,27,50.7,363.1,25,5,6
35,1531210202,27.1,51.1,380.6,25,5,6
36,1531210274,27.1,48.6,385.6,25,6,7
37,1531210303,27.1,49.2,398.2,25,3,4
38,1531210601,27.1,48.1,399.5,25,6,7
39,1531210899,27.1,48.5,345.6,25,8,9
40,1531211198,27.1,48.7,390.7,25,5,6
41,1531211496,27,48.6,395.7,25,2,3
42,1531211795,26.9,48.7,390.7,25,7,8
43,1531212094,26.7,49.4,398.2,25,5,6
44,1531212392,26.7,49.7,380.6,25,6,7
45,1531212690,26.6,49.7,395.7,25,6,7
46,1531212989,26.6,50.1,388.2,25,5,6
47,1531213288,26.6,50.7,410.8,25,4,5
48,1531213586,26.6,50.5,403.2,38,5,6
49,1531213885,26.6,51.2,400.7,25,5,6
50,1531214184,26.7,51.4,410.8,30.4,6,7
51,1531214483,26.7,51.4,419.6,25,8,9
52,1531214784,26.6,52.8,423.4,25,6,7
53,1531215080,26.6,52.9,432.2,25,5,6
54,1531215378,26.5,52.7,425.9,35.9,6,7
55,1531215676,26.6,52.8,405.7,29.5,5,6
56,1531215976,26.6,53.1,418.3,25.6,5,6
57,1531216274,26.6,53.4,391.9,25,8,9
58,1531216573,26.6,53.5,407,40.3,7,8
59,1531216871,26.6,53.2,391.9,36.7,7,8
60,1531217170,26.5,53.8,405.7,25,9,10
61,1531217469,26.4,53.6,405.7,37.9,7,8
62,1531217768,26.4,53.7,412,31.6,6,7
63,1531218066,26.4,53.4,402,25,6,7
64,1531218364,26.4,53.4,408.3,31.6,5,6
65,1531218663,26.4,53.3,425.9,27.7,5,6
66,1531218962,26.4,53.2,414.5,25,7,8
67,1531219261,26.3,53.3,410.8,41.3,5,6
68,1531219558,26.3,53.2,388.2,38.6,7,8
69,1531219858,26.3,52.9,408.3,36.7,5,6
70,1531220157,26.3,52.9,408.3,36.1,6,7
71,1531220456,26.3,52.9,408.3,29.9,6,7
72,1531220753,26.2,52.8,400.7,25,9,10
73,1531221052,26.2,52.8,413.3,25,5,6
74,1531221351,26.2,52.9,410.8,25,5,6
75,1531221649,26.2,53,404.5,25,6,7
76,1531221948,26.2,53.1,403.2,28.9,5,6
77,1531222247,26.2,53.1,403.2,25,6,7
78,1531222545,26.2,53.1,400.7,25,6,7
79,1531222848,26.2,52.9,400.7,30.4,5,6
80,1531223142,26.1,53,409.5,25,5,6
81,1531223441,26.1,53.3,417.1,25,6,7
82,1531223739,26.1,53.4,436,31.3,5,6
83,1531224039,26.2,53.8,438.5,47.5,6,7
84,1531224337,26.2,53.5,438.5,78.4,4,5
85,1531224636,26.3,53.7,430.9,83.8,6,7
86,1531224938,26.2,53.8,434.7,85.2,5,6
87,1531225233,26.3,53.6,438.5,103,6,7
88,1531225533,26.3,53.5,390.7,101,5,6
89,1531225830,26.4,53.6,393.2,95.1,5,6
90,1531226129,26.4,53.6,388.2,107.6,5,6
91,1531226427,26.5,53,383.1,121.9,5,6
92,1531226726,26.5,53,370.6,139,4,5
93,1531227025,26.6,53.2,375.6,123.1,4,5
94,1531227323,26.6,53.1,370.6,139.1,4,5
95,1531227623,26.6,53.3,369.3,140.9,4,5
96,1531227920,26.7,53.1,365.6,141.9,4,5
97,1531228220,26.7,53.1,366.8,122.4,4,5
98,1531228518,26.8,53,370.6,139.6,6,7
99,1531228817,26.8,53.1,361.8,127.9,3,4
100,1531229115,26.8,52.9,364.3,150.7,5,6
101,1531229414,26.8,53,353.1,157.6,5,6
102,1531229712,26.8,52.8,349.3,169.5,3,4
103,1531230011,26.8,53.1,354.3,158.9,3,4
104,1531230309,26.8,52.9,299.8,164.1,4,5
105,1531230608,26.8,52.8,350.6,179.7,4,5
106,1531230907,26.9,52.7,303.8,159.4,4,5
107,1531231205,26.9,52.7,344.3,151.1,4,5
108,1531231504,26.8,52.6,296.4,141.6,4,5
109,1531231802,26.9,52.3,298.2,137.8,5,6
110,1531232101,26.9,52.2,293.3,132.3,8,9
111,1531232400,26.9,52.2,290.5,110.1,5,6
112,1531232699,26.9,52.2,287.7,121.8,4,5
113,1531232997,26.9,52,288.6,113.4,4,5
114,1531233296,26.9,51.8,288.9,104.9,4,5
115,1531233594,26.9,51.6,280.5,121.8,4,5
116,1531233893,26.9,51.9,255.4,115.9,4,5
117,1531234191,27,51.7,264.7,123.4,4,5
118,1531234490,26.9,51.4,276.2,130.5,5,6
119,1531234789,27,51.4,285.5,129,5,6
120,1531235087,27,51.2,294.8,133.2,5,6
121,1531235386,27,51.3,303.2,117,4,5
122,1531235684,27,51.3,279,139.1,4,5
123,1531235984,27,51,296,108.9,4,5
124,1531236283,27,50.7,368.1,100.8,5,6
125,1531236581,27,50.6,275.9,102,6,7
126,1531236879,27,50.3,278,96.2,7,8
127,1531237176,27.1,51.6,284.2,147.2,4,5
128,1531237477,27.2,50.9,298.5,137.3,4,5
129,1531237774,27.3,50.1,296.7,134.8,4,5
130,1531238073,27.3,49.6,303.8,126,4,5
131,1531238371,27.3,49.5,353.1,132.5,3,4
132,1531238670,27.3,48.9,360.6,117.9,3,4
133,1531238969,27.3,49.4,468.8,96.1,5,6
134,1531239267,27.4,49.4,478.9,92.5,5,6
135,1531239566,27.5,49.7,490.3,100.9,3,4
136,1531239864,27.6,49.9,489.1,91.2,4,5
137,1531240164,27.6,48.4,494.1,83.3,4,5
138,1531493956,28.1,57.2,140.5,25,9,10
139,1531493984,28.3,63,279,25,7,8
140,1531494240,28.8,53.9,286.1,25,7,8
141,1531494462,29.4,63.3,193.8,25,9,10
142,1531494495,29.5,56.2,286.7,25,7,8
143,1531494540,29.6,52.4,286.4,25,7,8
144,1531494599,29.8,56,275.6,25,8,9
145,1531494844,29.9,50.4,368.1,25,7,8
146,1531495135,29.8,50.2,365.6,25,7,8
147,1531495192,29.9,51,358.1,25,7,8
148,1531495262,29.9,51.1,360.6,25,7,8
149,1531495434,30,50.1,358.1,25,6,7
150,1531495686,30,52.2,361.8,25,6,7
151,1531495734,30.1,50.7,139.6,25,6,7
152,1531495759,30.2,51.6,359.3,25,7,8
153,1531496015,30.2,50,261.3,25,6,7
154,1531496032,30.2,49.8,360.6,25,7,8
155,1531496330,30.3,49.1,360.6,25,8,9
211,9,\N,\N,\N,\N,\N,\N
212,9,\N,\N,\N,\N,\N,\N
213,9,\N,\N,\N,\N,\N,\N
214,9,\N,\N,\N,\N,\N,\N
215,9,\N,\N,\N,\N,\N,\N
216,9,\N,\N,\N,\N,\N,\N
217,9,\N,\N,\N,\N,\N,\N
218,9,\N,\N,\N,\N,\N,\N
219,9,\N,\N,\N,\N,\N,\N
220,9,\N,\N,\N,\N,\N,\N
221,9,\N,\N,\N,\N,\N,\N
222,9,\N,\N,\N,\N,\N,\N
223,9,\N,\N,\N,\N,\N,\N
224,9,\N,\N,\N,\N,\N,\N
225,9,\N,\N,\N,\N,\N,\N
226,9,\N,\N,\N,\N,\N,\N
227,9,\N,\N,\N,\N,\N,\N
228,9,\N,\N,\N,\N,\N,\N
229,9,\N,\N,\N,\N,\N,\N
230,9,\N,\N,\N,\N,\N,\N
231,9,\N,\N,\N,\N,\N,\N
232,9,\N,\N,\N,\N,\N,\N
233,9,\N,\N,\N,\N,\N,\N
234,9,\N,\N,\N,\N,\N,\N
235,9,\N,\N,\N,\N,\N,\N
236,9,\N,\N,\N,\N,\N,\N
237,9,\N,\N,\N,\N,\N,\N
238,9,\N,\N,\N,\N,\N,\N
239,9,\N,\N,\N,\N,\N,\N
240,9,\N,\N,\N,\N,\N,\N
241,9,\N,\N,\N,\N,\N,\N
242,9,\N,\N,\N,\N,\N,\N
243,9,\N,\N,\N,\N,\N,\N
244,9,\N,\N,\N,\N,\N,\N
245,9,\N,\N,\N,\N,\N,\N
246,9,\N,\N,\N,\N,\N,\N
247,1532338845,25.4,59.8,482.7,25,7,8
250,1532339093,25.6,58,486.5,25,5,6
251,1532339130,25.6,58,486.5,25,6,7
252,1532339338,25.8,57.5,494.1,25,6,7
253,1532339428,25.8,57,497.9,25,7,8
254,1532339449,26,56.6,495.4,25,5,6
255,1532339638,26,56.7,496.7,25,7,8
256,1532339727,26,56.6,462.5,25,6,7
257,1532340026,26.1,56.1,470.1,25,6,7
258,1532340120,26.2,57.3,0.5,25,5,6
259,1532340323,26.2,56.2,0.4,25,4,5
260,1532340623,26.2,55.7,0.4,25,5,6
261,1532340921,26.2,55.5,0.4,25,5,6
262,1532341221,26.2,55.6,0.4,25,7,8
263,1532341518,26.2,55.5,0.4,25,5,6
264,1532341816,26.3,55.4,0.4,25,4,5
265,1532342115,26.3,54.8,471.3,25,3,4
266,1532342414,26.3,54.6,484,25,4,5
267,1532342713,26.3,54.6,478.9,25,5,6
268,1532343011,26.3,54.4,473.9,25,5,6
269,1532343310,26.3,54.2,466.3,25,4,5
270,1532343608,26.3,54,515.7,25,4,5
271,1532343907,26.3,53.9,492.9,25,9,10
272,1532344206,26.3,54,486.5,25,4,5
273,1532344504,26.3,54.2,494.1,25,3,4
274,1532344803,26.3,54.3,494.1,28.2,3,4
275,1532345101,26.3,54.4,501.7,25,4,5
276,1532345399,26.3,54.1,496.7,36.8,4,5
277,1532345699,26.3,54.2,500.5,25,5,6
278,1532345998,26.3,54,489.1,25,3,4
279,1532346295,26.3,54,491.6,31.3,5,6
280,1532346595,26.3,54,497.9,25,4,5
281,1532346893,26.3,54.3,477.7,25,3,4
282,1532347192,26.3,54.3,481.5,25,3,4
283,1532347490,26.3,54.5,476.4,25,4,5
284,1532347788,26.3,54.6,442.3,27.9,3,4
285,1532348087,26.3,54.3,434.7,25,4,5
286,1532348386,26.3,55,459.9,25,4,5
287,1532348685,26.4,55,482.7,34.5,5,6
288,1532348983,26.4,55,471.3,51.5,3,4
289,1532349282,26.4,54.4,466.3,31.8,5,6
290,1532349581,26.4,55,473.9,124.8,4,5
291,1532349878,26.4,54.7,489.1,60.8,5,6
292,1532350177,26.5,54.8,473.9,66.4,4,5
293,1532350476,26.5,54.3,503,56.5,5,6
294,1532350775,26.5,54.4,499.2,48,6,7
295,1532351073,26.6,54.1,505.6,43.4,4,5
296,1532351371,26.6,54.1,505.6,55.3,5,6
297,1532351670,26.6,54.4,490.3,27.9,6,7
298,1532351969,26.5,54.2,473.9,25,5,6
299,1532352267,26.5,54.2,476.4,34.4,5,6
300,1532352566,26.6,54.1,468.8,35.5,5,6
301,1532352864,26.6,54.1,468.8,32.5,5,6
302,1532353162,26.5,54.2,463.7,25,6,7
303,1532353461,26.5,54,465,25,5,6
304,1532353762,26.5,53.9,451.1,49.7,4,5
305,1532354059,26.5,53.8,473.9,39.4,5,6
306,1532354358,26.5,53.6,495.4,36.4,5,6
307,1532354655,26.5,53.2,485.3,29.8,4,5
308,1532354954,26.5,53,468.8,26.9,5,6
309,1532355253,26.5,52.7,484,29.4,4,5
310,1532355551,26.5,53,471.3,31.9,4,5
311,1532355849,26.5,52.9,492.9,25,3,4
312,1532356148,26.6,58.5,555.2,215.4,4,5
313,1532356244,26.8,56,478.9,215.4,4,5
314,1532356290,26.9,55.5,0.5,215.4,6,7
